CODES,BRANCH,KPI, ACTUAL (MONTH) , ACTUAL (YTD) , BUDGET (MONTH) , BUDGET (YTD) , % VARIANCE (MONTH) , % VARIANCE (YTD) ,MONTH
000,CENTRAL OFFICE,NEW DEPOSITS, -   , -   , -   , -   ,0%,,JAN
000,CENTRAL OFFICE,CUMULATIVE DEPOSITS,, -   ,, -   ,0%,,JAN
000,CENTRAL OFFICE,GROSS LOAN BOOK, -   , 413.96 ,, -   ,0%,,JAN
000,CENTRAL OFFICE,DISBURSEMENTS, -   , -   , -   , -   ,0%,,JAN
000,CENTRAL OFFICE,TRADE FINANCE, -   , -   , -   , -   ,0%,,JAN
000,CENTRAL OFFICE,FX INCOME, (130.00), (130.00)," 33,000.00 "," 33,000.00 ",-100%,,JAN
000,CENTRAL OFFICE,NEW ACCOUNTS, -   , -   , -   , -   ,0%,,JAN
000,CENTRAL OFFICE,NFI, 164.03 , 164.03 , 0.04 , 0.04 ,404364%,,JAN
000,CENTRAL OFFICE,PBT," (40,839.92)"," (40,839.92)"," (39,049.69)"," (39,049.69)",-5%,,JAN
001,TOM MBOYA,NEW DEPOSITS," 4,885.49 "," 4,885.49 "," 19,355.15 "," 19,355.15 ",-75%,,JAN
001,TOM MBOYA,CUMULATIVE DEPOSITS,," 483,509.06 ",," 467,743.04 ",0%,,JAN
001,TOM MBOYA,GROSS LOAN BOOK, -   ," 644,497.86 ",," 542,886.05 ",0%,,JAN
001,TOM MBOYA,DISBURSEMENTS," 10,574.59 "," 10,574.59 "," 19,193.93 "," 19,193.93 ",-45%,,JAN
001,TOM MBOYA,TRADE FINANCE," 759,694.00 "," 759,694.00 "," 1,350,000.00 "," 1,350,000.00 ",-44%,,JAN
001,TOM MBOYA,FX INCOME," 5,925.00 "," 5,925.00 "," 2,000.00 "," 2,000.00 ",196%,,JAN
001,TOM MBOYA,NEW ACCOUNTS, 58.00 , 58.00 , 85.00 , 85.00 ,-32%,,JAN
001,TOM MBOYA,NFI, 980.42 , 980.42 ," 2,088.55 "," 2,088.55 ",-53%,,JAN
001,TOM MBOYA,PBT," (1,768.74)"," (1,768.74)"," (1,168.91)"," (1,168.91)",-51%,,JAN
002,LIKONI,NEW DEPOSITS," (21,783.79)"," (21,783.79)"," 19,755.15 "," 19,755.15 ",-210%,,JAN
002,LIKONI,CUMULATIVE DEPOSITS,," 51,349.26 ",," 57,553.63 ",0%,,JAN
002,LIKONI,GROSS LOAN BOOK, -   ," 89,902.70 ",," 96,547.80 ",0%,,JAN
002,LIKONI,DISBURSEMENTS," 1,143.40 "," 1,143.40 "," 19,693.93 "," 19,693.93 ",-94%,,JAN
002,LIKONI,TRADE FINANCE," 8,000.00 "," 8,000.00 "," 30,000.00 "," 30,000.00 ",-73%,,JAN
002,LIKONI,FX INCOME, -   , -   ," 73,000.00 "," 73,000.00 ",-100%,,JAN
002,LIKONI,NEW ACCOUNTS, 65.00 , 65.00 , 73.00 , 73.00 ,-11%,,JAN
002,LIKONI,NFI, 123.81 , 123.81 , 755.38 , 755.38 ,-84%,,JAN
002,LIKONI,PBT," (1,155.47)"," (1,155.47)"," (1,051.94)"," (1,051.94)",-10%,,JAN
003,WOTE,NEW DEPOSITS," 2,506.58 "," 2,506.58 "," 17,110.29 "," 17,110.29 ",-85%,,JAN
003,WOTE,CUMULATIVE DEPOSITS,," 42,791.45 ",," 35,630.45 ",0%,,JAN
003,WOTE,GROSS LOAN BOOK, -   ," 103,640.84 ",," 110,430.07 ",0%,,JAN
003,WOTE,DISBURSEMENTS," 2,684.06 "," 2,684.06 "," 16,387.87 "," 16,387.87 ",-84%,,JAN
003,WOTE,TRADE FINANCE," 6,000.00 "," 6,000.00 "," 12,000.00 "," 12,000.00 ",-50%,,JAN
003,WOTE,FX INCOME, -   , -   ," 1,000.00 "," 1,000.00 ",-100%,,JAN
003,WOTE,NEW ACCOUNTS, 36.00 , 36.00 , 66.00 , 66.00 ,-45%,,JAN
003,WOTE,NFI, 83.32 , 83.32 , 670.39 , 670.39 ,-88%,,JAN
003,WOTE,PBT, (756.11), (756.11), (318.23), (318.23),-138%,,JAN
004,LIMURU,NEW DEPOSITS, 583.61 , 583.61 ," 24,332.11 "," 24,332.11 ",-98%,,JAN
004,LIMURU,CUMULATIVE DEPOSITS,," 23,463.33 ",," 42,503.89 ",0%,,JAN
004,LIMURU,GROSS LOAN BOOK, -   ," 111,669.85 ",," 134,054.05 ",0%,,JAN
004,LIMURU,DISBURSEMENTS," 1,064.10 "," 1,064.10 "," 25,415.13 "," 25,415.13 ",-96%,,JAN
004,LIMURU,TRADE FINANCE," 12,000.00 "," 12,000.00 "," 87,000.00 "," 87,000.00 ",-86%,,JAN
004,LIMURU,FX INCOME, -   , -   ," 1,000.00 "," 1,000.00 ",-100%,,JAN
004,LIMURU,NEW ACCOUNTS, 21.00 , 21.00 , 101.00 , 101.00 ,-79%,,JAN
004,LIMURU,NFI, 86.96 , 86.96 , 894.35 , 894.35 ,-90%,,JAN
004,LIMURU,PBT," 2,129.24 "," 2,129.24 "," 2,574.52 "," 2,574.52 ",-17%,,JAN
005,MOI AVENUE,NEW DEPOSITS," 3,837.68 "," 3,837.68 "," 33,221.81 "," 33,221.81 ",-88%,,JAN
005,MOI AVENUE,CUMULATIVE DEPOSITS,," 146,151.27 ",," 184,537.62 ",0%,,JAN
005,MOI AVENUE,GROSS LOAN BOOK, -   ," 345,696.77 ",," 335,158.17 ",0%,,JAN
005,MOI AVENUE,DISBURSEMENTS," 5,421.81 "," 5,421.81 "," 36,527.27 "," 36,527.27 ",-85%,,JAN
005,MOI AVENUE,TRADE FINANCE," 532,127.84 "," 532,127.84 "," 1,521,000.00 "," 1,521,000.00 ",-65%,,JAN
